197|HISTORIA-LIBRO
198|SOCIOLOGIA-LIBROS
199|BIBLIOTECAS-HISTORIA
200| D.
201| DOUGLAS
202| INGEBORG
203| WILLIAM STETSON
204| MARIA LUISA
205| MELVIL
206| RALPH E.
207| LIONEL R.
208| M
209|ENSE�ANZA PRIMARIA
210|DICCIONARIOS
211|EDUCACION PRIMARIA
212|EDUCAION PRIMARIA
213|ENCICLOPEDIA
214|EDUCAICON PRIMARIA
215|MANUALES
216|EDUCACIO PRIMARIA
217|MODULO 0
218|EDUCACI�N
219|MODULO 5
220|MODULO 6
221|MODULO 7-8
222|LITERATURA INFANTIL
223|ARITMETICA
224|DICCIONARIO DE ECONOMIA
225|DICCIONARIO- VETERINARIA
226|DICCIONARIO-POLIGLOTO
227|ENSAYOS
228|REVISTAS
229|ALAMANAQUE MUNDIAL
230|ALMANAQUE UNIVERSAL
231|ALMANAQUE MUNDIAL
232|LA PLATA UNIVERSIDAD
233|CALENDARIO ESCOLAR
234|CONMEMORACIONES
235|ORGANISMOS INTERNACIONALES
236|NACIONES UNIDAS
237|SALVADORI MASSIMO
238|ORGANIZACION DE LOS ESTADOS A.
239|PERIODICOS
240|PERIODISMO
241|DIARIOS
242|PERIODISMO-HISTORIA
243|DIARIOS-UTILIDAD
244|INFORMACION
245|LITERATURA INFANTIL JUVENIL
246|CUENTOS INFANTILES
247|AHORRO
248|NARRACIONES Y NOVELAS JUVENIL.
249|NOVELAS Y NARRACIONES
250|NOVELAS
251|NOVELA
252|NOVELA COSTUMBRES
253|NOVELAS JUVENILES
254|LITERATURA JUVENIL
255|BLAY FONTCUBERTA
256|BIOGRAFIA-HISTORIA
257|CUENTOS DE HADAS
258|ANTOLOGIA
259|LITERATURA LEYENDAS
260|LITERATURA POPULAR NI�OS
261|LITERATURA INFNATIL JUVENIL
262|TEATRO INFANTIL
263|NARRACIONES Y NOVELAS INFANT.
264|CIENCIA-LECTURA JUVENIL
265|CROUSE WILLIAM H
266|POESIA
267|BORNEMANN ELSA ISABEL
268|LITARATURA INFANTIL JUVENIL
269|ESCLAVITUD
270|INGLES-ENSE�ANZA
271|TITULO
272|NOVELAS Y NARRACIONSE JUVENIL.
273|TEATRO
274|POESIA INFNATIL
275|POESIA INFANTIL
276|NOVELAS Y NARRACIONES JUVENIL.
277|LITERATURA TEATRO
278|POESIA SATIRICA
279|LITERATURA FABULAS
280|LITERATURA-ANECDOTA
281|CANCIONES PATRIAS
282|BIOGRAFIA-NARRACIONES
283|NARRACIONES Y NOVELAS INFANTIL
284|BIOGRAFIAS-HISTORIA
285|FABULAS
286|CUENTOS Y REFLEXIONES
287|NOVELAS Y NARRACIONES JUVENIL
288|SIVI MARIA TERESA
289|CUENTOS INFNATILES
290|CUENTO CORTO
291|MICROSCOOPIOS-LECTURAS INFANTI
292|MICROOCOSPIOS-LECTURAS INFANTI
293|MICROSCOPIOS-LITERATURA INFANT
294|DE AMICIS
295|OCEANOGRAFIA
296|LITERATURA HISTORIA
297|NOVELAS Y RELATOS PARA JOVENES
298|CIENCICA-HISTORIA
299| MARY
300|LIBROS ILUSTRADOS PARA NI�OS
301|NOVELAS Y NARRACIONES INFANTIL
302|NARRACIONES Y NOVELAS JUVENIL
303|NOVELAS ITALIANAS JUVENILES
304|CUENTOS
305|AVENTURAS INFANTILES
306|NARRACIONES JUVENILES
307|CUENTO LEYENDA
308|NARRACION
309| GRACIELA BEATRIZ
310|HISTORIA-LECTURAS INFANTILES
311|NOVELA AVENTURAS
312|LITERATURA IFANTIL JUVENIL
313|MAPAS-HISTORIA
314|NARRATIVA GAUCHESCA
315|FABULAS CUENTOS
316|NARRACION CORTA
317|LARRAN DE VERE A
318|LITERATURA RELIGIOSA
319|NARRACIONES HISTORICAS
320|MONTES GRACIELA
321| CONRADO
322| GUSTAVO
323| SILVIA
324| LILIANA
325| HORACIO A
326|CARLOTA
327|JOSE
328|ROBERTO
329|VIAJES Y DESCUBRIMIENTOS
330|H
331|A.E.W
332|TOMAS
333|ANN
334|HERNAN
335| OSVALDO
336|NOVELAS Y NARRACIONES PARA JOV
337| BARTOLOME
338| JOSE
339| A DE
340| JULIA
341| MOREAU S
342| PAULINA
343|OPAL
344| A.G.
345|PABLO
346| RICARDO J.
347| LARRY
348|HAYDEE
349| CARMEN
350|CHRISTINE
351|GARCI
352|KURT
353| SUZANNE
354|PAIRAULT
355| LAURO
356| GEOFFREY X
357| CARLOS
358| MARIANO
359| CHARLES
360| PIPO
361|PIMENTEL
362|PLAZA
363|POESIAS INFANTILES
364| EDGAR A
365| MARCO
366| SYRIA
367| FRANK
368| MARSHALL
369| JOSE ANTONIO C.
370| JOSE ANTONIO C
371| UDIAVAR G
372| RENATO
373|ROLDAN ELISA
374| TERESA
375| ALICIA
376| S
377|NOVELAS Y NARRRACIONES JUVENIL
378|NOVELA AVENTURA
379|40 ANECDOTAS NARRADAS POR SU N
380|SARMIENTO-BIOGRAFIA
381|CIENCIA ELEMENTAL
382|NARRACIONES
383|LITERATURA INFANTIL JUVENLI
384|CUENTOS DE TERROR
385|BIOGRAFIAS GRANDES POETAS
386|LITERATURA POEMAS
387|S/M
388|LITERATURA CUENTOS Y APOLOGOS
389|CUENTO
390|PROUDFIT ISABEL
391|ANECDOTAS HISTORIAS
392|PLANTAS
393|NOVELA DE CIENCIA FICCION
394|NOVELAS INFANTILES
395| CONSTANCIO C
396| PUBLIO
397| MARIA ELENA
398| LEWIS
399| JEAN
400| DOROTHY
401| OSCAR
402| EMA
403| JOHAN
404|LAUTARO
405| C
406| STEPHANE
407| NATHALIE
408| MARGUERITE
409|MITOLOGIA ANIMALES
410| JAMES V
411| HELENE
412| GEORGES
413|REVISTA UTILISIMA
414|LIBROS RAROS
415|FILOSOFIA ARABE
416|FILOSOFIA MEDIEVAL
417|FILOSOFIA
418|ETICA DE ARISTOTELES
419|METAFISICA
420| ALFREDO
421| W.D.
422| A
423| L
424| NICOLAS
425| FRANCOIS
426| RENE
427| OCTAVE
428| LAERCIO
429| ALBERTO A
430|DIOGENES
431| GIUSEPPE
432| DESIDERIUS
433| JOHN
434| ISMAEL S.I
435| EMANUEL
436| M.
437|FILOSOFIA ENSAYO
438|HERNAN A.CONDE
439| ALEJANDRO
440| SUSANNE KATHARINE
441| GOTTFRIED WILHELM
442|FILOSOFIA ENSAYOS
443| MIGUEL DE
444|NIETZCHE
445|FEDERICO
446|KARL
447| RAFAEL
448|FILOSOFIA ENSAYO CRITICA
449| A.
450|LITERATURA INFANTIL ECOLOGIA
451|BIOLOGIA
452|EDUCACION CIVICA (NI�OS)
453|BIBLIOTECA NACIONAL HISTORIA
454| EMILE
455|JUAN ADOLFO
456| BERTRAND
457| JEAN-PAUL
458| MICHELE F
459| MANUEL
460| ARTURO
461| BARUCH DE
462| GILBERT KEITH
463| GIAMBATTISTA
464| MICHELE FEDERICO
465|FILOSOFIA ENSE�ANZA
466| HEINRICH
467|DICCIONARIO FILOSOFICO
468| JULES
469| HECTOR DELFOR
470|ROSTENNE
471| I.M
472|PAULINO
473| ERNEST
474|EUSEBIO
475| PIERRE
476|FILOSOFIA MEDIEVAL HISTORIA Y
477| EDOUARD
478|FILOSOFIA HISTORIA Y CRITICA
479| JAOQUES
480|FILOSOFIA MODERNA HIST.Y CRITI
481| AUGUST
482| RODOLFO
483|FILOSOFIA ANTIGUA HIST.Y CRITI
484|FILOSOFIA GRIEGA HISTORIA
485|BIOGRAFIA VIAJES HISTORIA
486|PREGUNTAS Y RESPUESTAS-ANATOMI
487|PREGUNTAS Y RESPUESTAS-NATURAL
488|PREGUNTAS Y RESPUESTAS-ZOOLOGI
489|PREGUNTAS Y RESPUESTAS
490|COLECCION ESTRELLA
491|CUENTOS CORTOS
492|NOVELA DE AVENTURAS
493|ALIMENTOS
494|COCINA DE ALIMENTOS DOMESTICOS
495|ISIDRO DE SEVILLA
496| FERMIN V
497|FILOSOFIA ANTIGUA
498|MONDOLFO RODOLFO
499|FILOSOFIA GRIEGA
500|FILOSOFIA DEL RENACIMIENTO
501|FILOSOFIA CONTEMPORANEA
502|FILOSOFIA DE LA HISTORIA
503|DICCIONARIO-FILOSOFIA
504|HISTORIA-FILOSOFIA GRIEGA
505|HISTORIA-FILOSOFIA MODERNA
506|FILOSOFIA ANTIGUA HISTORIA
507|FILOSOFIA-POLITICA
508|FILOSOFIA FRANCESA
509|HISTORIA-FILOSOFIA HISPANOAMER
510|FILOSOFIA ARGENTINA
511|METODO DE LA FILOSOFIA
512|FILOSOFIA MANUALES
513|FILOSOFIA-INTRODUCCION
514|FILOSOFIA-MANUALES
515|FILOSOFIA-METODOS
516|FILOSOFIA-MANUAL
517|FILOSOFIA DE LA EDUCACION
518|ONTOLOGIA-ENSAYOS
519|METAFISICA-HISTORIA
520|METAFISICA-ENSAYOS
521|FILOSOFIA-ENSAYO
522|ONTOLOGIA
523|METAFISICA GENERAL
524|ONTOLOGIA-EPISTEMOLOGIA
525|COSMOLOGIA
526|FILOSOFIA DE LA NATURALEZA
527|FILOSOFIA DE LA FISICA
528|ANTROPOLOGIA FILOSOFICA
529|RELIGION-FILOSOFIA
530|ANTROPOLOGIA-FILOSOFICA
531|ANTROPOLOGIA
532|BUNGE MARIO
533|FILOSOFIA DE LA MENTE
534|NEUROSIS
535|FILOSOFIA DEL ESPIRITU
536|FILOSOFIA-METAFISICA
537|PSICOANALISIS
538|PSICOLOGIA
539|PSICOTERAPIA DE GRUPO
540|PSICOANLISIS
541|PSCICOANALISIS
542|TESTS
543|UNAMUNO MIGUEL
544|FILOSOFIA-HISTORIA-METODOS
545|CIVILIZACION-FILOSOFIA
546|FILOSOFIA ROMANA HISTORIA
547|FILOSOFIA ORIENTAL
548|LOCURA
549|PIRAMIDES
550|PARAPSICOLOGIA
551|METAPSIQUICA
552|OCULTISMO
553|VIGNATI ALEJANDRO
554|ALQUIMIA
555|PERCEPCION OCULTA
556|ESPIRITISMO
557|SEXO
558|LA MUJER
559| EXISTE
560|DISLEXIA ESCOLAR
561|LITERATURA INFANTIL-CIENCIA
562|PALEONTOLOGIA
563|GEOLOGIA MINEROGRAFIA
564|GRAVITACION
565|XXXX
566|DSDS
567|PERSONALIDAD
568|MM
569|NI�O-DESARROLLO
570|PSICOLOGIA INFANTIL
571|ADOLESCENCIA
572|PSICOLOGIA EVOLUTIVA
573|EDUCACION PARA PADRES
574|TES INFANTIL
575|SEXUALIDAD
576|SEXO-FAMILIA
577|PSICOLOGIA EDUCACIONAL
578|PSICOLOGIA DEL ADOLESCENTE
579|TEST
580|PSICOLOGIA DEL APRENDIZAJE
581|ORIENTACION VOCACIONAL
582|NI�O ESCRITURA
583|ITURRALDE RUA VICTOR
584|FONOAUDIOLOGIA INFANTIL
585|MUJER
586|MERANI ALBERTO L
587|PSICOLOGIA DEL NI�O
588|PSCICOLOGIA INFANTIL
589|SISTEMAS FILOSOFICOS
