18382|R 35 REG V15|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18383|R 35 REG V16|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18384|R 35 REG V17|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18385|R 35 REG V18|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18386|R 35 REG V19|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18387|R 35 REG V20|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18388|R 35 REG V21|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18389|R 35 REG V22|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18390|R 35 REG V23|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18391|R 35 REG V24|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18392|R 35 REG V25|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18393|R 35 REG V26|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18394|R 35 REG V27|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18395|R 35 REG V28|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18396|R 35 REG V29|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18397|R 35 REG V30|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18398|R 35 REG V31|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18399|R 35 REG V32|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18400|R 35 REG V33|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18401|R 35 REG V34|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18402|R 35 REG V35|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18403|R 35 REG V36|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18404|R 35 REG V37|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18405|R 35 REG V38|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18406|R 35 REG V39|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18407|R 35 REG V40|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18408|R 35 REG V41|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
